time_stamp,state,optimal_action,value
42,86,B,24.3716
42,87,B,24.3716
42,88,B,24.3716
42,89,B,24.3716
42,90,B,24.3716
42,91,B,24.3716
42,92,B,24.3716
42,93,B,24.3716
42,94,B,24.3716
42,95,B,24.3716
42,96,B,24.3716
42,97,B,24.3716
42,98,B,24.3716
42,99,B,24.3716
42,100,None,-100.0
43,0,AM,56.381380999999976
43,1,B,35.3869
43,2,B,35.3869
43,3,B,35.3869
43,4,B,35.3869
43,5,B,23.87
43,6,B,23.87
43,7,B,23.87
43,8,B,23.87
43,9,B,23.87
43,10,B,23.87
43,11,B,23.87
43,12,B,23.87
43,13,B,23.87
43,14,B,23.87
43,15,B,23.87
43,16,B,23.87
43,17,B,23.87
43,18,B,23.87
43,19,B,23.87
43,20,B,23.87
43,21,B,23.87
43,22,B,23.87
43,23,B,23.87
43,24,B,23.87
43,25,B,23.87
43,26,B,23.87
43,27,B,23.87
43,28,B,23.87
43,29,B,23.87
43,30,B,23.87
43,31,B,23.87
43,32,B,23.87
43,33,B,23.87
43,34,B,23.87
43,35,B,23.87
43,36,B,23.87
43,37,B,23.87
43,38,B,23.87
43,39,B,23.87
43,40,B,23.87
43,41,B,23.87
43,42,B,23.87
43,43,B,23.87
43,44,B,23.87
43,45,B,23.87
43,46,B,23.87
43,47,B,23.87
43,48,B,23.87
43,49,B,23.87
43,50,B,23.87
43,51,B,23.87
43,52,B,23.87
43,53,B,23.87
43,54,B,23.87
43,55,B,23.87
43,56,B,23.87
43,57,B,23.87
43,58,B,23.87
43,59,B,23.87
43,60,B,23.87
43,61,B,23.87
43,62,B,23.87
43,63,B,23.87
43,64,B,23.87
43,65,B,23.87
43,66,B,23.87
43,67,B,23.87
43,68,B,23.87
43,69,B,23.87
43,70,B,23.87
43,71,B,23.87
43,72,B,23.87
43,73,B,23.87
43,74,B,23.87
43,75,B,23.87
43,76,B,23.87
43,77,B,23.87
43,78,B,23.87
43,79,B,23.87
43,80,B,23.87
43,81,B,23.87
43,82,B,23.87
43,83,B,23.87
43,84,B,23.87
43,85,B,23.87
43,86,B,23.87
43,87,B,23.87
43,88,B,23.87
43,89,B,23.87
43,90,B,23.87
43,91,B,23.87
43,92,B,23.87
43,93,B,23.87
43,94,B,23.87
43,95,B,23.87
43,96,B,23.87
43,97,B,23.87
43,98,B,23.87
43,99,B,23.87
43,100,None,-100.0
44,0,AM,55.38174099999998
44,1,B,34.505
44,2,B,34.505
44,3,B,34.505
44,4,B,34.505
44,5,B,23.3686
44,6,B,23.3686
44,7,B,23.3686
44,8,B,23.3686
44,9,B,23.3686
44,10,B,23.3686
44,11,B,23.3686
44,12,B,23.3686
44,13,B,23.3686
44,14,B,23.3686
44,15,B,23.3686
44,16,B,23.3686
44,17,B,23.3686
44,18,B,23.3686
44,19,B,23.3686
44,20,B,23.3686
44,21,B,23.3686
44,22,B,23.3686
44,23,B,23.3686
44,24,B,23.3686
44,25,B,23.3686
44,26,B,23.3686
44,27,B,23.3686
44,28,B,23.3686
44,29,B,23.3686
44,30,B,23.3686
44,31,B,23.3686
44,32,B,23.3686
44,33,B,23.3686
44,34,B,23.3686
44,35,B,23.3686
44,36,B,23.3686
44,37,B,23.3686
44,38,B,23.3686
44,39,B,23.3686
44,40,B,23.3686
44,41,B,23.3686
44,42,B,23.3686
44,43,B,23.3686
44,44,B,23.3686
44,45,B,23.3686
44,46,B,23.3686
44,47,B,23.3686
44,48,B,23.3686
44,49,B,23.3686
44,50,B,23.3686
44,51,B,23.3686
44,52,B,23.3686
44,53,B,23.3686
44,54,B,23.3686
44,55,B,23.3686
44,56,B,23.3686
44,57,B,23.3686
44,58,B,23.3686
44,59,B,23.3686
44,60,B,23.3686
44,61,B,23.3686
44,62,B,23.3686
44,63,B,23.3686
44,64,B,23.3686
44,65,B,23.3686
44,66,B,23.3686
44,67,B,23.3686
44,68,B,23.3686
44,69,B,23.3686
44,70,B,23.3686
44,71,B,23.3686
44,72,B,23.3686
44,73,B,23.3686
44,74,B,23.3686
44,75,B,23.3686
44,76,B,23.3686
44,77,B,23.3686
44,78,B,23.3686
44,79,B,23.3686
44,80,B,23.3686
44,81,B,23.3686
44,82,B,23.3686
44,83,B,23.3686
44,84,B,23.3686
44,85,B,23.3686
44,86,B,23.3686
44,87,B,23.3686
44,88,B,23.3686
44,89,B,23.3686
44,90,B,23.3686
44,91,B,23.3686
44,92,B,23.3686
44,93,B,23.3686
44,94,B,23.3686
44,95,B,23.3686
44,96,B,23.3686
44,97,B,23.3686
44,98,B,23.3686
44,99,B,23.3686
44,100,None,-100.0
45,0,AM,54.38217599999998
45,1,B,33.6305
45,2,B,33.6305
45,3,B,33.6305
45,4,B,33.6305
45,5,B,22.8678
45,6,B,22.8678
45,7,B,22.8678
45,8,B,22.8678
45,9,B,22.8678
45,10,B,22.8678
45,11,B,22.8678
45,12,B,22.8678
45,13,B,22.8678
45,14,B,22.8678
45,15,B,22.8678
45,16,B,22.8678
45,17,B,22.8678
45,18,B,22.8678
45,19,B,22.8678
45,20,B,22.8678
45,21,B,22.8678
45,22,B,22.8678
45,23,B,22.8678
45,24,B,22.8678
45,25,B,22.8678
45,26,B,22.8678
45,27,B,22.8678
45,28,B,22.8678
45,29,B,22.8678
45,30,B,22.8678
45,31,B,22.8678
45,32,B,22.8678
45,33,B,22.8678
45,34,B,22.8678
45,35,B,22.8678
45,36,B,22.8678
45,37,B,22.8678
45,38,B,22.8678
45,39,B,22.8678
45,40,B,22.8678
45,41,B,22.8678
45,42,B,22.8678
45,43,B,22.8678
45,44,B,22.8678
45,45,B,22.8678
45,46,B,22.8678
45,47,B,22.8678
45,48,B,22.8678
45,49,B,22.8678
45,50,B,22.8678
45,51,B,22.8678
45,52,B,22.8678
45,53,B,22.8678
45,54,B,22.8678
45,55,B,22.8678
45,56,B,22.8678
45,57,B,22.8678
45,58,B,22.8678
45,59,B,22.8678
45,60,B,22.8678
45,61,B,22.8678
45,62,B,22.8678
45,63,B,22.8678
45,64,B,22.8678
45,65,B,22.8678
45,66,B,22.8678
45,67,B,22.8678
45,68,B,22.8678
45,69,B,22.8678
45,70,B,22.8678
45,71,B,22.8678
45,72,B,22.8678
45,73,B,22.8678
45,74,B,22.8678
45,75,B,22.8678
45,76,B,22.8678
45,77,B,22.8678
45,78,B,22.8678
45,79,B,22.8678
45,80,B,22.8678
45,81,B,22.8678
45,82,B,22.8678
45,83,B,22.8678
45,84,B,22.8678
45,85,B,22.8678
45,86,B,22.8678
45,87,B,22.8678
45,88,B,22.8678
45,89,B,22.8678
45,90,B,22.8678
45,91,B,22.8678
45,92,B,22.8678
45,93,B,22.8678
45,94,B,22.8678
45,95,B,22.8678
45,96,B,22.8678
45,97,B,22.8678
45,98,B,22.8678
45,99,B,22.8678
45,100,None,-100.0
46,0,AM,53.38270099999998
46,1,AM,32.896531
46,2,B,32.7623
46,3,B,32.7623
46,4,B,32.7623
46,5,B,32.7623
46,6,B,32.7623
46,7,B,32.7623
46,8,B,32.7623
46,9,B,22.3674
46,10,B,22.3674
46,11,B,22.3674
46,12,B,22.3674
46,13,B,22.3674
46,14,B,22.3674
46,15,B,22.3674
46,16,B,22.3674
46,17,B,22.3674
46,18,B,22.3674
46,19,B,22.3674
46,20,B,22.3674
46,21,B,22.3674
46,22,B,22.3674
46,23,B,22.3674
46,24,B,22.3674
46,25,B,22.3674
46,26,B,22.3674
46,27,B,22.3674
46,28,B,22.3674
46,29,B,22.3674
46,30,B,22.3674
46,31,B,22.3674
46,32,B,22.3674
46,33,B,22.3674
46,34,B,22.3674
46,35,B,22.3674
46,36,B,22.3674
46,37,B,22.3674
46,38,B,22.3674
46,39,B,22.3674
46,40,B,22.3674
46,41,B,22.3674
46,42,B,22.3674
46,43,B,22.3674
46,44,B,22.3674
46,45,B,22.3674
46,46,B,22.3674
46,47,B,22.3674
46,48,B,22.3674
46,49,B,22.3674
46,50,B,22.3674
46,51,B,22.3674
46,52,B,22.3674
46,53,B,22.3674
46,54,B,22.3674
46,55,B,22.3674
46,56,B,22.3674
46,57,B,22.3674
46,58,B,22.3674
46,59,B,22.3674
46,60,B,22.3674
46,61,B,22.3674
46,62,B,22.3674
46,63,B,22.3674
46,64,B,22.3674
46,65,B,22.3674
46,66,B,22.3674
46,67,B,22.3674
46,68,B,22.3674
46,69,B,22.3674
46,70,B,22.3674
46,71,B,22.3674
46,72,B,22.3674
46,73,B,22.3674
46,74,B,22.3674
46,75,B,22.3674
46,76,B,22.3674
46,77,B,22.3674
46,78,B,22.3674
46,79,B,22.3674
46,80,B,22.3674
46,81,B,22.3674
46,82,B,22.3674
46,83,B,22.3674
46,84,B,22.3674
46,85,B,22.3674
46,86,B,22.3674
46,87,B,22.3674
46,88,B,22.3674
46,89,B,22.3674
46,90,B,22.3674
46,91,B,22.3674
46,92,B,22.3674
46,93,B,22.3674
46,94,B,22.3674
46,95,B,22.3674
46,96,B,22.3674
46,97,B,22.3674
46,98,B,22.3674
46,99,B,22.3674
46,100,None,-100.0
47,0,AM,52.383341999999985
47,1,AM,51.878314999999986
47,2,B,31.8993
47,3,B,31.8993
47,4,B,31.8993
47,5,B,31.8993
47,6,B,31.8993
47,7,B,31.8993
47,8,B,31.8993
47,9,B,21.8668
47,10,B,21.8668
47,11,B,21.8668
47,12,B,21.8668
47,13,B,21.8668
47,14,B,21.8668
47,15,B,21.8668
47,16,B,21.8668
47,17,B,21.8668
47,18,B,21.8668
47,19,B,21.8668
47,20,B,21.8668
47,21,B,21.8668
47,22,B,21.8668
47,23,B,21.8668
47,24,B,21.8668
47,25,B,21.8668
47,26,B,21.8668
47,27,B,21.8668
47,28,B,21.8668
47,29,B,21.8668
47,30,B,21.8668
47,31,B,21.8668
47,32,B,21.8668
47,33,B,21.8668
47,34,B,21.8668
47,35,B,21.8668
47,36,B,21.8668
47,37,B,21.8668
47,38,B,21.8668
47,39,B,21.8668
47,40,B,21.8668
47,41,B,21.8668
47,42,B,21.8668
47,43,B,21.8668
47,44,B,21.8668
47,45,B,21.8668
47,46,B,21.8668
47,47,B,21.8668
47,48,B,21.8668
47,49,B,21.8668
47,50,B,21.8668
47,51,B,21.8668
47,52,B,21.8668
47,53,B,21.8668
47,54,B,21.8668
47,55,B,21.8668
47,56,B,21.8668
47,57,B,21.8668
47,58,B,21.8668
47,59,B,21.8668
47,60,B,21.8668
47,61,B,21.8668
47,62,B,21.8668
47,63,B,21.8668
47,64,B,21.8668
47,65,B,21.8668
47,66,B,21.8668
47,67,B,21.8668
47,68,B,21.8668
47,69,B,21.8668
47,70,B,21.8668
47,71,B,21.8668
47,72,B,21.8668
47,73,B,21.8668
47,74,B,21.8668
47,75,B,21.8668
47,76,B,21.8668
47,77,B,21.8668
47,78,B,21.8668
47,79,B,21.8668
47,80,B,21.8668
47,81,B,21.8668
47,82,B,21.8668
47,83,B,21.8668
47,84,B,21.8668
47,85,B,21.8668
47,86,B,21.8668
47,87,B,21.8668
47,88,B,21.8668
47,89,B,21.8668
47,90,B,21.8668
47,91,B,21.8668
47,92,B,21.8668
47,93,B,21.8668
47,94,B,21.8668
47,95,B,21.8668
47,96,B,21.8668
47,97,B,21.8668
47,98,B,21.8668
47,99,B,21.8668
47,100,None,-100.0
48,0,AM,51.38406699999999
48,1,AM,50.881301999999984
48,2,B,31.0401
48,3,B,31.0401
48,4,B,31.0401
48,5,B,31.0401
48,6,B,31.0401
48,7,B,31.0401
48,8,B,31.0401
48,9,B,21.3657
48,10,B,21.3657
48,11,B,21.3657
48,12,B,21.3657
48,13,B,21.3657
48,14,B,21.3657
48,15,B,21.3657
48,16,B,21.3657
48,17,B,21.3657
48,18,B,21.3657
48,19,B,21.3657
48,20,B,21.3657
48,21,B,21.3657
48,22,B,21.3657
48,23,B,21.3657
48,24,B,21.3657
48,25,B,21.3657
48,26,B,21.3657
48,27,B,21.3657
48,28,B,21.3657
48,29,B,21.3657
48,30,B,21.3657
48,31,B,21.3657
48,32,B,21.3657
48,33,B,21.3657
48,34,B,21.3657
48,35,B,21.3657
48,36,B,21.3657
48,37,B,21.3657
48,38,B,21.3657
48,39,B,21.3657
48,40,B,21.3657
48,41,B,21.3657
48,42,B,21.3657
48,43,B,21.3657
48,44,B,21.3657
48,45,B,21.3657
48,46,B,21.3657
48,47,B,21.3657
48,48,B,21.3657
48,49,B,21.3657
48,50,B,21.3657
48,51,B,21.3657
48,52,B,21.3657
48,53,B,21.3657
48,54,B,21.3657
48,55,B,21.3657
48,56,B,21.3657
48,57,B,21.3657
48,58,B,21.3657
48,59,B,21.3657
48,60,B,21.3657
48,61,B,21.3657
48,62,B,21.3657
48,63,B,21.3657
48,64,B,21.3657
48,65,B,21.3657
48,66,B,21.3657
48,67,B,21.3657
48,68,B,21.3657
48,69,B,21.3657
48,70,B,21.3657
48,71,B,21.3657
48,72,B,21.3657
48,73,B,21.3657
48,74,B,21.3657
