Time Step,State,Action,Q-Value
41,15,AM,22.247880998132224
41,15,B,24.172199999999982
41,16,AM,22.247880998561328
41,16,B,24.172199999999982
41,17,AM,22.247880999651418
41,17,B,24.172199999999982
41,18,AM,22.247880999858292
41,18,B,24.172199999999982
41,19,AM,22.24788096786865
41,19,B,24.172199999999982
41,20,AM,22.24788099472908
41,20,B,24.172199999999982
41,21,AM,22.247879338416624
41,21,B,24.172199999999982
41,22,AM,22.247880869716344
41,22,B,24.172199999999982
41,23,AM,22.247879276276706
41,23,B,24.172199999999982
41,24,AM,22.24784141372774
41,24,B,24.172199999999982
41,25,AM,22.239498573280887
41,25,B,24.172199999999982
41,26,AM,22.2349852129193
41,26,B,24.172199999999982
41,27,AM,22.192038567815345
41,27,B,24.172199999438657
41,28,AM,21.431466788543023
41,28,B,24.172188768608372
41,29,AM,8.62219638328851
41,29,B,24.085139678112746
41,30,AM,0.1843441
41,30,B,3.3172200000000003
41,31,AM,0.35025379
41,31,B,10.489247622
41,32,AM,1.2052836799000002
41,32,B,7.2796662
41,33,AM,0.1843441
41,33,B,8.96891958
41,34,AM,1.0708968310000002
41,34,B,5.402718
41,35,AM,0.35025379
41,35,B,7.2796662
41,36,AM,0.1843441
41,36,B,5.402718
41,37,AM,0.55429819
41,37,B,8.96891958
41,38,AM,0.1843441
41,38,B,3.3172200000000003
41,39,AM,1.2052836799000002
41,39,B,10.489247622
41,40,AM,0.1843441
41,40,B,3.3172200000000003
41,41,AM,0.0
41,41,B,7.2796662
41,42,AM,0.1843441
41,42,B,3.3172200000000003
41,43,AM,0.1843441
41,43,B,3.3172200000000003
41,44,AM,0.1843441
41,44,B,5.402718
41,45,AM,0.55429819
41,45,B,5.402718
41,46,AM,0.0
41,46,B,8.96891958
41,47,AM,0.55429819
41,47,B,3.3172200000000003
41,48,AM,0.0
41,48,B,3.3172200000000003
41,49,AM,0.35025379
41,49,B,3.3172200000000003
41,50,AM,0.55429819
41,50,B,7.2796662
41,51,AM,0.0
41,51,B,3.3172200000000003
41,52,AM,0.0
41,52,B,3.3172200000000003
41,53,AM,0.8872568710000001
41,53,B,3.3172200000000003
41,54,AM,0.55429819
41,54,B,1.0
41,55,AM,0.0
41,55,B,1.0
41,56,AM,0.0
41,56,B,3.3172200000000003
41,57,AM,0.0
41,57,B,1.0
41,58,AM,0.0
41,58,B,1.0
41,59,AM,0.0
41,59,B,1.0
41,60,AM,0.0
41,60,B,1.0
41,61,AM,0.0
41,61,B,1.0
41,62,AM,0.0
41,62,B,1.0
41,63,AM,0.0
41,63,B,1.0
41,64,AM,0.0
41,64,B,1.0
41,65,AM,0.0
41,65,B,1.0
41,66,AM,0.0
41,66,B,1.0
41,67,AM,0.0
41,67,B,1.0
41,68,AM,0.0
41,68,B,1.0
41,69,AM,0.0
41,69,B,1.0
41,70,AM,0.0
41,70,B,1.0
41,71,AM,0.0
41,71,B,1.0
41,72,AM,0.0
41,72,B,1.0
41,73,AM,0.0
41,73,B,1.0
41,74,AM,0.0
41,74,B,1.0
41,75,AM,0.0
41,75,B,1.0
41,76,AM,0.0
41,76,B,1.0
41,77,AM,0.0
41,77,B,1.0
41,78,AM,0.0
