Age,From State,To State,Probability
40,0.00000,25.00000,0.02750
40,0.00000,18.00000,0.02240
40,0.00000,28.00000,0.02550
40,0.00000,32.00000,0.02610
40,0.00000,39.00000,0.02310
40,0.00000,36.00000,0.02680
40,0.00000,44.00000,0.01820
40,0.00000,45.00000,0.01740
40,0.00000,35.00000,0.02360
40,0.00000,3.00000,0.00450
40,0.00000,43.00000,0.02240
40,0.00000,27.00000,0.02400
40,0.00000,29.00000,0.02290
40,0.00000,56.00000,0.00550
40,0.00000,22.00000,0.02540
40,0.00000,10.00000,0.01240
40,0.00000,21.00000,0.02570
40,0.00000,20.00000,0.02530
40,0.00000,46.00000,0.01790
40,0.00000,50.00000,0.01210
40,0.00000,40.00000,0.02450
40,0.00000,38.00000,0.02530
40,0.00000,19.00000,0.02460
40,0.00000,34.00000,0.02350
40,0.00000,26.00000,0.02610
40,0.00000,6.00000,0.00800
40,0.00000,33.00000,0.02610
40,0.00000,23.00000,0.02620
40,0.00000,54.00000,0.00680
40,0.00000,11.00000,0.01420
40,0.00000,16.00000,0.02070
40,0.00000,9.00000,0.00940
40,0.00000,41.00000,0.02120
40,0.00000,47.00000,0.01710
40,0.00000,24.00000,0.02500
40,0.00000,31.00000,0.02470
40,0.00000,42.00000,0.02290
40,0.00000,13.00000,0.01610
40,0.00000,5.00000,0.00790
40,0.00000,30.00000,0.02380
40,0.00000,15.00000,0.01880
40,0.00000,53.00000,0.01050
40,0.00000,14.00000,0.01880
40,0.00000,4.00000,0.00440
40,0.00000,7.00000,0.00800
40,0.00000,52.00000,0.01200
40,0.00000,8.00000,0.00980
40,0.00000,48.00000,0.01080
40,0.00000,58.00000,0.00270
40,0.00000,55.00000,0.00610
40,0.00000,37.00000,0.02660
40,0.00000,51.00000,0.01140
40,0.00000,2.00000,0.00280
40,0.00000,17.00000,0.01880
40,0.00000,12.00000,0.01530
40,0.00000,57.00000,0.00470
40,0.00000,49.00000,0.01280
40,0.00000,1.00000,0.00100
40,0.00000,59.00000,0.00120
40,0.00000,0.00000,0.00010
40,0.00000,60.00000,0.00060
41,25.00000,25.00000,1.00000
41,18.00000,18.00000,1.00000
41,28.00000,28.00000,1.00000
41,32.00000,32.00000,1.00000
41,39.00000,39.00000,1.00000
41,36.00000,36.00000,1.00000
41,44.00000,44.00000,1.00000
41,45.00000,45.00000,1.00000
41,35.00000,35.00000,1.00000
41,3.00000,3.00000,1.00000
41,43.00000,43.00000,1.00000
41,27.00000,27.00000,1.00000
41,29.00000,29.00000,1.00000
41,56.00000,56.00000,1.00000
41,22.00000,22.00000,1.00000
41,10.00000,10.00000,1.00000
41,21.00000,21.00000,1.00000
41,20.00000,20.00000,1.00000
41,46.00000,46.00000,1.00000
41,50.00000,50.00000,1.00000
41,40.00000,40.00000,1.00000
41,38.00000,38.00000,1.00000
41,19.00000,19.00000,1.00000
41,34.00000,34.00000,1.00000
41,26.00000,26.00000,1.00000
41,6.00000,6.00000,1.00000
41,33.00000,33.00000,1.00000
41,23.00000,23.00000,1.00000
41,54.00000,54.00000,1.00000
41,11.00000,11.00000,1.00000
41,16.00000,16.00000,1.00000
41,9.00000,9.00000,1.00000
41,41.00000,41.00000,1.00000
41,47.00000,47.00000,1.00000
41,24.00000,24.00000,1.00000
41,31.00000,31.00000,1.00000
41,42.00000,42.00000,1.00000
41,13.00000,13.00000,1.00000
41,5.00000,5.00000,1.00000
41,30.00000,30.00000,1.00000
41,15.00000,15.00000,1.00000
41,53.00000,53.00000,1.00000
41,14.00000,14.00000,1.00000
41,4.00000,4.00000,1.00000
41,7.00000,7.00000,1.00000
41,52.00000,52.00000,1.00000
41,8.00000,8.00000,1.00000
41,48.00000,48.00000,1.00000
41,58.00000,58.00000,1.00000
41,55.00000,55.00000,1.00000
41,37.00000,37.00000,1.00000
41,51.00000,51.00000,1.00000
41,2.00000,2.00000,1.00000
41,17.00000,17.00000,1.00000
41,12.00000,12.00000,1.00000
41,57.00000,57.00000,1.00000
41,49.00000,49.00000,1.00000
41,1.00000,1.00000,1.00000
41,59.00000,59.00000,1.00000
41,0.00000,0.00000,1.00000
41,60.00000,60.00000,1.00000
42,25.00000,69.00000,0.15273
42,25.00000,17.00000,0.36000
42,25.00000,68.00000,0.38545
42,25.00000,16.00000,0.10182
42,18.00000,12.00000,0.45089
42,18.00000,59.00000,0.25893
42,18.00000,58.00000,0.23214
42,18.00000,11.00000,0.05804
42,28.00000,19.00000,0.52941
42,28.00000,72.00000,0.25490
42,28.00000,71.00000,0.21569
42,32.00000,76.00000,0.07280
42,32.00000,22.00000,0.50575
42,32.00000,75.00000,0.42146
42,39.00000,27.00000,0.16450
42,39.00000,80.00000,0.25974
42,39.00000,81.00000,0.24242
42,39.00000,28.00000,0.33333
42,36.00000,25.00000,0.45149
42,36.00000,79.00000,0.18657
42,36.00000,78.00000,0.30597
42,36.00000,26.00000,0.05597
42,44.00000,83.00000,0.19780
42,44.00000,32.00000,0.53297
42,44.00000,84.00000,0.25275
42,44.00000,31.00000,0.01648
42,45.00000,33.00000,0.40805
42,45.00000,84.00000,0.48851
42,45.00000,32.00000,0.10345
42,35.00000,78.00000,0.38136
42,35.00000,77.00000,0.13559
42,35.00000,25.00000,0.16525
42,35.00000,24.00000,0.31780
42,3.00000,2.00000,0.57778
42,3.00000,15.00000,0.08889
42,3.00000,17.00000,0.08889
42,3.00000,18.00000,0.11111
42,3.00000,19.00000,0.06667
42,3.00000,16.00000,0.06667
42,43.00000,83.00000,0.51339
42,43.00000,31.00000,0.48661
42,27.00000,70.00000,0.26667
42,27.00000,18.00000,0.50417
42,27.00000,71.00000,0.21250
42,27.00000,19.00000,0.01667
42,29.00000,20.00000,0.41921
42,29.00000,19.00000,0.10917
42,29.00000,72.00000,0.24454
42,29.00000,73.00000,0.22707
42,56.00000,43.00000,0.30909
42,56.00000,89.00000,0.67273
42,56.00000,44.00000,0.01818
42,22.00000,65.00000,0.23622
42,22.00000,14.00000,0.27165
42,22.00000,64.00000,0.20472
42,22.00000,15.00000,0.28740
42,10.00000,7.00000,0.19355
42,10.00000,42.00000,0.18548
42,10.00000,41.00000,0.17742
42,10.00000,43.00000,0.09677
42,10.00000,6.00000,0.34677
42,21.00000,64.00000,0.14397
42,21.00000,63.00000,0.36965
42,21.00000,14.00000,0.48249
42,21.00000,13.00000,0.00389
42,20.00000,13.00000,0.48221
42,20.00000,62.00000,0.35178
42,20.00000,61.00000,0.16601
42,46.00000,85.00000,0.32961
42,46.00000,34.00000,0.40223
42,46.00000,84.00000,0.15084
42,46.00000,33.00000,0.11732
42,50.00000,38.00000,0.10744
42,50.00000,87.00000,0.28926
42,50.00000,86.00000,0.18182
42,50.00000,37.00000,0.42149
42,40.00000,28.00000,0.22857
42,40.00000,29.00000,0.30612
42,40.00000,81.00000,0.46531
42,38.00000,80.00000,0.48617
42,38.00000,27.00000,0.41897
42,38.00000,26.00000,0.06719
42,38.00000,79.00000,0.02767
42,19.00000,60.00000,0.35772
42,19.00000,13.00000,0.18293
42,19.00000,12.00000,0.29268
42,19.00000,61.00000,0.15854
42,19.00000,59.00000,0.00813
42,34.00000,77.00000,0.50638
42,34.00000,23.00000,0.16596
42,34.00000,24.00000,0.29362
42,34.00000,76.00000,0.03404
42,26.00000,70.00000,0.22989
42,26.00000,69.00000,0.29885
42,26.00000,17.00000,0.29119
42,26.00000,18.00000,0.18008
42,6.00000,30.00000,0.12500
42,6.00000,4.00000,0.40000
42,6.00000,28.00000,0.18750
42,6.00000,29.00000,0.10000
42,6.00000,31.00000,0.15000
42,6.00000,27.00000,0.03750
42,33.00000,23.00000,0.46743
42,33.00000,76.00000,0.46360
42,33.00000,22.00000,0.06897
42,23.00000,66.00000,0.40840
42,23.00000,15.00000,0.43511
42,23.00000,16.00000,0.05725
42,23.00000,65.00000,0.09924
42,54.00000,41.00000,0.42647
42,54.00000,88.00000,0.51471
42,54.00000,89.00000,0.01471
42,54.00000,42.00000,0.04412
42,11.00000,44.00000,0.23944
42,11.00000,45.00000,0.25352
42,11.00000,46.00000,0.02113
42,11.00000,7.00000,0.42958
42,11.00000,43.00000,0.05634
42,16.00000,10.00000,0.29952
42,16.00000,56.00000,0.21256
42,16.00000,11.00000,0.18841
42,16.00000,54.00000,0.07729
42,16.00000,55.00000,0.22222
42,9.00000,39.00000,0.11702
42,9.00000,6.00000,0.57447
42,9.00000,40.00000,0.14894
